#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,Name,Type,_field,_measurement
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:50:47Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:50:48Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:50:49Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:50:50Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:50:51Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:50:52Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:50:53Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:50:54Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:50:55Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:50:56Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:50:57Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:50:58Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:50:59Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:00Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:01Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:02Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:03Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:04Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:05Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:06Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:07Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:08Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:09Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:10Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:11Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:12Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:13Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:14Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:15Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:16Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:17Z,100,BOC01T001,Analog,Quality,Tags
,,0,2021-06-15T07:54:59.72430386Z,2021-06-15T08:54:59.72430386Z,2021-06-15T08:51:18Z,100,BOC01T001,Analog,Quality,Tags
